nome,preco,ano,km,vendedor,localização,link,historico,vistoria,marca,motor
Volkswagen Polo Track 1.0 Flex 12v 5p,75990.0,2024,40336,Por Seminovos Movida,Feira de Santana,https://carro.mercadolivre.com.br/MLB-4984538032-polo-track-10-flex-12v-5p-_JM#position%3D43%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,1,Volkswagen,1.0
Volkswagen Jetta R-line 250 Tsi 1.4 Flex 16v Aut.,112900.0,2019,103640,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-3846615567-volkswagen-jetta-r-line-250-tsi-14-flex-16v-aut-20192-_JM#position%3D44%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Volkswagen,1.4
Citroën C3 1.6 Exclusive 16v Flex 4p Automático,53990.0,2017,67796,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-4976879014-c3-16-exclusive-16v-flex-4p-automatico-_JM#position%3D45%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Citroën,1.6
Kia Sportage 2.0 Ex 4x2 16v Flex 4p Automático,118990.0,2019,41856,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-3832812449-sportage-20-ex-4x2-16v-flex-4p-automatico-_JM#position%3D46%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Kia,2.0
Jeep Renegade 1.8 16v Flex Longitude 4p Automático,76900.0,2018,58275,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-5029413860-jeep-renegade-18-16v-flex-longitude-4p-automatico-_JM#position%3D47%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Jeep,1.8
Chery Tiggo 2 1.5 Look 16v Flex 5p,56000.0,2019,79000,Vendedor indepedente,Alagoinhas,https://carro.mercadolivre.com.br/MLB-4983846386-chery-tiggo-2-2019-15-look-16v-flex-5p-_JM#position%3D48%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,0,0,Chery,1.5
Volkswagen Saveiro 1.6 Msi Robust Cd 16v Flex 2p Manual,74990.0,2023,52585,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-5036486980-volkswagen-saveiro-16-msi-robust-cd-16v-flex-2p-manual-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Volkswagen,1.6
Chevrolet Onix 1.0 Turbo Flex Plus Ltz Manual,81090.0,2023,48567,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-5036512076-chevrolet-onix-10-turbo-flex-plus-ltz-manual-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Chevrolet,1.0
Fiat Argo 1.0 Firefly Flex Drive Manual,67490.0,2023,49694,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-5036581718-fiat-argo-10-firefly-flex-drive-manual-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Fiat,1.0
Chevrolet Onix 1.0 Flex Manual,70390.0,2023,50876,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-5036451722-chevrolet-onix-10-flex-manual-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Chevrolet,1.0
